Rank,Combo,Strategy,Stock 1,Sector 1,Name 1,Role 1,Stock 1 Top100 Uses,Stock 2,Sector 2,Name 2,Role 2,Stock 2 Top100 Uses,Stock 3,Sector 3,Name 3,Role 3,Stock 3 Top100 Uses,Stock 4,Sector 4,Name 4,Role 4,Stock 4 Top100 Uses,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Worst Year,Worst Year %,Best Year,Best Year %,Defense Recession Worst %,Defense Recession Avg %,Defense Recession Positive Years,Defense Recession Observations,Recession Stress Years,Starting Value ($),Annual Withdrawal ($),Total Withdrawn ($),Remaining Balance ($),Net Value incl. Withdrawals ($),Net Profit incl. Withdrawals ($),Max Ticker Repeats,Distinct Tickers in Top 100,Candidate Partners per Profit Pair,NBER Recession Periods,NBER Source,2025 Balance After Withdrawal ($),2024 Balance After Withdrawal ($),2023 Balance After Withdrawal ($),2022 Balance After Withdrawal ($),2021 Balance After Withdrawal ($),2020 Balance After Withdrawal ($),2019 Balance After Withdrawal ($),2018 Balance After Withdrawal ($),2017 Balance After Withdrawal ($),2016 Balance After Withdrawal ($)
11,SHOP + ISRG + NFLX + CAT,Not rebalanced,SHOP,Technology,Shopify Inc. Class A Subordinate Voting Shares,Profit Engine,5,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,Profit Engine,5,NFLX,Consumer Discretionary,Netflix Inc. Common Stock,Recession Defense,5,CAT,Industrials,Caterpillar Inc. Common Stock,Recession Defense,5,49.31502854191518,103.76758871096969,24.565326271274657,68.33680908306728,63.50398161389445,19.321301777232414,-41.562240502826356,62.577314268124454,45.97208104632973,31.34761460410729,2022,-41.562240502826356,2017,103.76758871096969,-12.25974466005352,31.18113468233808,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,6801864.091904307,6801864.091904307,6501864.091904307,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,394042.84381232184,575192.5393269849,935132.5823084376,546470.5294291142,652055.749543753,1066137.1128463596,1794701.1962159018,2235575.4006608073,4555378.087742127,6801864.091904307
12,SHOP + ISRG + CAT + SCCO,Not rebalanced,SHOP,Technology,Shopify Inc. Class A Subordinate Voting Shares,Profit Engine,5,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,Profit Engine,5,CAT,Industrials,Caterpillar Inc. Common Stock,Recession Defense,5,SCCO,Basic Materials,Southern Copper Corporation Common Stock,Recession Defense,5,51.59892066317746,103.90363695586649,8.552224129096842,70.83575709740234,61.49992283100865,14.124849096035351,-28.625644197696854,58.930185136279725,28.952221269197697,46.70091883326799,2022,-28.625644197696854,2017,103.90363695586649,-43.63735361230701,18.715242796187894,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,6801780.719152257,6801780.719152257,6501780.719152257,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,440102.756499804,567522.2803734656,901964.2108871854,643771.1450880556,734702.8478555623,1186544.532323956,2027042.335093462,2200399.538782333,4486694.687137289,6801780.719152257
13,SHOP + ISRG + NFLX + PH,Not rebalanced,SHOP,Technology,Shopify Inc. Class A Subordinate Voting Shares,Profit Engine,5,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,Profit Engine,5,NFLX,Consumer Discretionary,Netflix Inc. Common Stock,Recession Defense,5,PH,Industrials,Parker-Hannifin Corporation Common Stock,Recession Defense,5,50.0121560499492,98.24097257273534,20.737884534270414,74.30179419552081,66.6599536001185,20.302904002919632,-44.84021096131661,71.7333707962769,50.974624261025724,26.157010157982064,2022,-44.84021096131661,2017,98.24097257273534,-15.133316151153881,30.886111899848995,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,6791825.997786775,6791825.997786775,6491825.997786775,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,378471.0304739462,571395.2161948724,981276.2653401283,541269.9178482859,651163.4296657053,1085228.6697418047,1891573.0424841486,2283845.275915897,4527517.087032145,6791825.997786775
14,SHOP + ISRG + PH + SCCO,Not rebalanced,SHOP,Technology,Shopify Inc. Class A Subordinate Voting Shares,Profit Engine,5,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,Profit Engine,5,PH,Industrials,Parker-Hannifin Corporation Common Stock,Recession Defense,5,SCCO,Basic Materials,Southern Copper Corporation Common Stock,Recession Defense,5,52.32105753818077,98.28764773482625,5.873835853185461,76.16544497575998,64.29800926164198,14.914561426315732,-32.647904568352224,68.18625497060499,32.787719322262944,41.51031438714276,2022,-32.647904568352224,2017,98.28764773482625,-46.510925103407374,17.51067508713793,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,6791742.625034725,6791742.625034725,6491742.625034725,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,424530.9431614283,563724.9572413531,948107.8939188762,638570.5335072273,733810.5279775148,1205636.0892194011,2123914.181361709,2248669.414037423,4458833.686427307,6791742.625034725
15,SHOP + PBR + PH + SCCO,Not rebalanced,SHOP,Technology,Shopify Inc. Class A Subordinate Voting Shares,Profit Engine,5,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,Profit Engine,5,PH,Industrials,Parker-Hannifin Corporation Common Stock,Recession Defense,5,SCCO,Basic Materials,Southern Copper Corporation Common Stock,Recession Defense,5,63.49940674178689,89.51941504945589,5.029662586735428,77.59453749834444,40.2200467142255,13.825066363273496,-20.44354590011078,81.29736458107362,22.279661031006114,39.11947749821019,2022,-20.44354590011078,2017,89.51941504945589,-46.510925103407374,17.51067508713793,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,6790313.251672987,6790313.251672987,6490313.251672987,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,417358.4324946306,510344.47653875477,925241.0862498379,736089.0000956687,837853.7928516512,1174838.9797334955,2086449.85240797,2191391.24002553,4153111.8595414027,6790313.251672987
16,AVGO + ISRG + AEM + AMZN,Not rebalanced,AVGO,Technology,Broadcom Inc. Common Stock,Profit Engine,5,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,Profit Engine,5,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,Recession Defense,5,AMZN,Consumer Discretionary,Amazon.com Inc. Common Stock,Recession Defense,5,24.604611731272264,47.63459155588696,7.2143554124440845,31.326249995165067,41.73169782438961,23.949618865845835,-18.47086442648951,55.09902865221428,63.983061561790386,45.969492060565706,2022,-18.47086442648951,2024,63.983061561790386,-25.226630620907663,30.55489875125597,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,4131836.883237679,4131836.883237679,3831836.883237679,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,437908.47618169716,718095.7260813307,1113759.4959452092,908038.4894120167,1125510.2467813785,1595204.7819507252,2094922.6198794374,2246057.783293225,3315958.234474161,4131836.883237679
17,AVGO + PBR + AEM + AMZN,Not rebalanced,AVGO,Technology,Broadcom Inc. Common Stock,Profit Engine,5,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,Profit Engine,5,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,Recession Defense,5,AMZN,Consumer Discretionary,Amazon.com Inc. Common Stock,Recession Defense,5,37.212064124396925,37.53035686295725,6.382696501543572,31.516760441608383,27.233801346185025,22.275869538607694,-7.822559743301616,64.11428741259226,54.32081335119885,43.57865517163317,2022,-7.822559743301616,2023,64.11428741259226,-25.226630620907663,30.55489875125597,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,4130407.50987594,4130407.50987594,3830407.50987594,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,430735.9655148995,664715.2453787323,1090892.6882761708,1005556.9560004582,1229553.511655515,1564407.6724648199,2057458.2909256986,2188779.6092813313,3010236.407588256,4130407.50987594
18,AVGO + PBR + WMT + AEM,Not rebalanced,AVGO,Technology,Broadcom Inc. Common Stock,Profit Engine,5,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,Profit Engine,5,WMT,Consumer Discretionary,Walmart Inc. Common Stock,Recession Defense,5,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,Recession Defense,5,38.279406997304456,36.22386894619822,2.6122025066267485,32.313395701761834,22.697773651541887,20.763342155297227,1.5039858139803464,49.766605203954484,60.20606493859937,48.39859948432317,2022,1.5039858139803464,2024,60.20606493859937,1.5157429726628648,16.33384399634902,4,4,"2001,2008,2009,2020",300000.0,0.0,0.0,4108785.2445116146,4108785.2445116146,3808785.2445116146,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,445195.7984529695,713230.6699734803,1068181.3616927017,1084246.657840142,1309372.5012148656,1606570.9077961482,2125708.522461705,2181236.333769028,2971364.5247203796,4108785.2445116146
19,AVGO + PBR + AEM + JPM,Not rebalanced,AVGO,Technology,Broadcom Inc. Common Stock,Profit Engine,5,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,Profit Engine,5,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,Recession Defense,5,JPM,Finance,JP Morgan Chase & Co. Common Stock,Recession Defense,5,41.05839588451383,33.6274443249279,2.153452349330509,34.55822254797318,18.047959378383904,25.070300525241727,-0.7056574177952579,54.26944503469973,53.772317838892825,51.592755610641625,2022,-0.7056574177952579,2023,54.26944503469973,-15.474726849770024,8.416491820678633,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,4097819.791329407,4097819.791329407,3797819.791329407,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,454778.2668319249,699323.0819349957,1078841.8375006763,1071228.910048074,1339789.2171103978,1581593.8307704502,2128164.5466131167,2173993.5560397757,2905052.0287245717,4097819.791329407
20,AVGO + PBR + AEM + COST,Not rebalanced,AVGO,Technology,Broadcom Inc. Common Stock,Profit Engine,5,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,Profit Engine,5,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,Recession Defense,5,COST,Consumer Discretionary,Costco Wholesale Corporation Common Stock,Recession Defense,5,35.42529448472082,32.56044765865968,4.727666479886117,34.610245224549566,23.994820674048235,27.756390507286955,-1.0852646911697628,58.87106938915505,53.707074349942175,40.92750273886738,2022,-1.0852646911697628,2023,58.87106938915505,-14.897883605108891,14.387450960279365,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,4094078.355269308,4094078.355269308,3794078.355269308,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,422782.50821660215,649846.624243043,1032418.2813242465,1021213.8102518528,1304665.9033397015,1617718.1472415144,2177614.3650438422,2280564.709441205,3023126.787980673,4094078.355269308
21,FCX + MS + AMZN + LRCX,Not rebalanced,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,Profit Engine,5,MS,Finance,Morgan Stanley Common Stock,Profit Engine,5,AMZN,Consumer Discretionary,Amazon.com Inc. Common Stock,Recession Defense,5,LRCX,Technology,Lam Research Corporation Common Stock,Recession Defense,5,38.36259175864858,58.211583424983026,-22.238334493702126,62.31198457238256,65.20000166265719,43.23174350564134,-32.05824785146329,52.18008245382462,12.043383047637457,56.23714517129721,2022,-32.05824785146329,2020,65.20000166265719,-47.71042692605523,40.15769326209455,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3549839.7951450804,3549839.7951450804,3249839.7951450804,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,468711.4355138916,525160.1490809098,799189.1478859568,542983.1100546792,777724.1754724723,1284800.3508114112,2085384.9471949348,1621630.0671564117,2565606.6065437747,3549839.7951450804
22,FCX + DE + AMZN + LRCX,Not rebalanced,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,Profit Engine,5,DE,Industrials,Deere & Company Common Stock,Profit Engine,5,AMZN,Consumer Discretionary,Amazon.com Inc. Common Stock,Recession Defense,5,LRCX,Technology,Lam Research Corporation Common Stock,Recession Defense,5,38.817806224897744,64.23720156508992,-19.526707633653885,62.05592012195038,72.71866451637952,39.036673129660436,-30.347379676859564,53.55904344463915,4.39889094910717,47.79228801191031,2022,-30.347379676859564,2020,72.71866451637952,-47.71042692605523,40.15769326209455,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3534954.2106113294,3534954.2106113294,3234954.2106113294,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,443376.86403573095,462880.5287782339,710794.9122833436,495087.2815289164,688352.8853258812,1188913.9106948273,1926705.377434366,1550483.2514208697,2546470.3028690536,3534954.2106113294
23,FCX + MS + WMT + LRCX,Not rebalanced,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,Profit Engine,5,MS,Finance,Morgan Stanley Common Stock,Profit Engine,5,WMT,Consumer Discretionary,Walmart Inc. Common Stock,Recession Defense,5,LRCX,Technology,Lam Research Corporation Common Stock,Recession Defense,5,39.63545506858346,56.542680155518,-25.05291483048534,62.29798626134102,54.740150729729955,37.94123671239782,-19.936823069646714,35.35138272097485,18.73130939959735,61.05708948398723,2018,-25.05291483048534,2019,62.29798626134102,-15.385082016994527,25.936638507187602,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3528217.5297807553,3528217.5297807553,3228217.5297807553,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,483171.2684519617,573675.5736756577,776477.8213024875,621672.811894363,857543.1650318229,1326963.5861427395,2153635.1787309414,1614086.791644108,2526734.7236758983,3528217.5297807553
24,FCX + MS + COST + LRCX,Not rebalanced,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,Profit Engine,5,MS,Finance,Morgan Stanley Common Stock,Profit Engine,5,COST,Consumer Discretionary,Costco Wholesale Corporation Common Stock,Recession Defense,5,LRCX,Technology,Lam Research Corporation Common Stock,Recession Defense,5,36.26196417290581,50.48874529194698,-22.31315805243125,64.82498901716407,56.90120207314073,52.66300688244306,-24.580957629973,45.15521037879113,10.750448624125353,53.58599273853144,2022,-24.580957629973,2019,64.82498901716407,-37.38167991025645,23.990245471117944,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3513510.6405384494,3513510.6405384494,3213510.6405384494,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,460757.9782155943,510291.52794522047,740714.7409340325,558639.9643060737,852836.5671566587,1338110.8255881057,2205541.0213130787,1713415.1673162852,2578496.9869361916,3513510.6405384494
25,FCX + DE + WMT + LRCX,Not rebalanced,FCX,Basic Materials,Freeport-McMoRan Inc. Common Stock,Profit Engine,5,DE,Industrials,Deere & Company Common Stock,Profit Engine,5,WMT,Consumer Discretionary,Walmart Inc. Common Stock,Recession Defense,5,LRCX,Technology,Lam Research Corporation Common Stock,Recession Defense,5,40.10743974090376,62.520801791046246,-22.657929380949927,62.04960147379648,60.26063779152078,33.8798692090007,-16.61231349022937,34.55006461461518,11.698331905938474,52.612232324600306,2018,-22.657929380949927,2017,62.520801791046246,-15.385082016994527,25.936638507187602,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3513331.9452470043,3513331.9452470043,3213331.9452470043,5,83,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,457836.6969738009,511395.95337298186,688083.5856998744,573776.9833686003,768171.8748852317,1231077.1460261554,1994955.6089703725,1542939.975908566,2507598.420001177,3513331.9452470043
