Rank,Ranking,Combo,Stock 1,Sector 1,Stock 2,Sector 2,Stock 3,Sector 3,Stock 4,Sector 4,Includes Semiconductor,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,Worst Year,Worst Year %,Starting Value ($),Ending Value ($),Total Profit ($),Total Return %,10Y CAGR %
11,Best Profit Generator,SHOP + ANET + LLY + TSLA,SHOP,Technology,ANET,Telecommunications,LLY,Health Care,TSLA,Industrials,No,30.385178,55.012367,95.284028,-30.289745,58.850891,250.510822,56.385119,18.465536,85.643809,17.28672,2022,-30.289745,100000.0,3314339.32,3214339.32,3214.339318,41.918724
12,Best Profit Generator,SHOP + ANET + ISRG + TSLA,SHOP,Technology,ANET,Telecommunications,ISRG,Health Care,TSLA,Industrials,No,22.45038,60.366856,86.841197,-45.390587,50.270475,252.348679,58.208622,16.15998,99.344794,23.907508,2022,-45.390587,100000.0,3169096.73,3069096.73,3069.096729,41.284185
13,Best Profit Generator,SHOP + ANET + PBR + TSLA,SHOP,Technology,ANET,Telecommunications,PBR,Energy,TSLA,Industrials,No,20.059539,46.121884,102.352069,-24.545869,47.437943,235.530108,58.283,15.272804,81.630339,53.657987,2022,-24.545869,100000.0,3168620.23,3068620.23,3068.620228,41.28206
14,Best Profit Generator,SHOP + ANET + PGR + TSLA,SHOP,Technology,ANET,Telecommunications,PGR,Finance,TSLA,Industrials,No,19.568392,59.535311,85.846232,-32.151824,45.041135,253.121624,58.633905,10.700564,96.58198,23.603985,2022,-32.151824,100000.0,3164243.81,3064243.81,3064.243806,41.262534
15,Best Profit Generator,SHOP + ANET + BX + TSLA,SHOP,Technology,ANET,Telecommunications,BX,Finance,TSLA,Industrials,No,18.363512,55.454777,100.743591,-48.854943,69.107753,247.694894,76.431646,8.377622,88.021291,19.497663,2022,-48.854943,100000.0,3144365.14,3044365.14,3044.365143,41.173538
16,Best Profit Generator,FCX + SHOP + ANET + TSLA,FCX,Basic Materials,SHOP,Technology,ANET,Telecommunications,TSLA,Industrials,No,29.176461,44.333907,83.478251,-40.689469,57.683863,267.515562,59.747095,-2.9247,92.121548,43.586451,2022,-40.689469,100000.0,3142546.91,3042546.91,3042.546905,41.165372
17,Best Profit Generator,SHOP + NFLX + ANET + TSLA,SHOP,Technology,NFLX,Consumer Discretionary,ANET,Telecommunications,TSLA,Industrials,No,21.621856,67.45403,96.33457,-51.616668,45.184437,259.529304,57.572235,18.210675,94.949365,21.937854,2022,-51.616668,100000.0,3140705.94,3040705.94,3040.705939,41.1571
18,Best Profit Generator,SCCO + SHOP + ANET + TSLA,SCCO,Basic Materials,SHOP,Technology,ANET,Telecommunications,TSLA,Industrials,No,36.960422,49.041838,92.563158,-37.810883,42.161622,257.431354,63.96992,0.068344,93.875134,25.653218,2022,-37.810883,100000.0,3139794.64,3039794.64,3039.794638,41.153004
19,Best Profit Generator,AEM + SHOP + ANET + TSLA,AEM,Basic Materials,SHOP,Technology,ANET,Telecommunications,TSLA,Industrials,No,50.205956,58.196454,82.301296,-38.584498,36.628967,246.794945,65.894911,5.475285,83.914486,35.238345,2022,-38.584498,100000.0,3129197.37,3029197.37,3029.197373,41.10529
20,Best Profit Generator,SHOP + ANET + MS + TSLA,SHOP,Technology,ANET,Telecommunications,MS,Finance,TSLA,Industrials,No,31.614952,56.619902,83.539093,-41.438183,53.994761,252.272977,60.518625,2.661986,87.836966,28.897217,2022,-41.438183,100000.0,3120977.8,3020977.8,3020.977802,41.068182
21,Best Profit Generator,NEM + SHOP + ANET + TSLA,NEM,Basic Materials,SHOP,Technology,ANET,Telecommunications,TSLA,Industrials,No,63.528318,44.729066,77.866524,-44.045716,44.18233,252.821979,59.97926,6.815105,83.911498,42.403162,2022,-44.045716,100000.0,3112598.9,3012598.9,3012.598896,41.030263
22,Best Profit Generator,SHOP + AMZN + ANET + TSLA,SHOP,Technology,AMZN,Consumer Discretionary,ANET,Telecommunications,TSLA,Industrials,No,21.626258,57.785234,100.277002,-51.257376,42.925545,261.814876,58.107064,15.45977,95.174322,22.61532,2022,-51.257376,100000.0,3106527.65,3006527.65,3006.527648,41.00273
23,Best Profit Generator,SHOP + WMT + ANET + TSLA,SHOP,Technology,WMT,Consumer Discretionary,ANET,Telecommunications,TSLA,Industrials,No,26.446207,65.18517,83.277129,-38.969539,42.82405,248.581471,59.890871,7.493859,92.825402,23.886738,2022,-38.969539,100000.0,3099320.29,2999320.29,2999.320293,40.969983
24,Best Profit Generator,SHOP + ANET + JPM + TSLA,SHOP,Technology,ANET,Telecommunications,JPM,Finance,TSLA,Industrials,No,29.64036,57.759133,87.713438,-42.013875,49.267787,241.367172,64.164396,6.695893,87.874914,28.513029,2022,-42.013875,100000.0,3095665.11,2995665.11,2995.665112,40.953348
25,Best Profit Generator,SHOP + COST + ANET + TSLA,SHOP,Technology,COST,Consumer Discretionary,ANET,Telecommunications,TSLA,Industrials,No,18.975102,56.592762,92.307738,-43.616028,55.286656,250.917444,63.775298,11.001671,86.778243,19.948372,2022,-43.616028,100000.0,3094417.94,2994417.94,2994.417936,40.947669
26,Best Profit Generator,SHOP + MA + ANET + TSLA,SHOP,Technology,MA,Consumer Discretionary,ANET,Telecommunications,TSLA,Industrials,No,22.583217,52.730685,85.907737,-39.518209,42.6215,247.797442,67.139637,14.680072,93.106617,21.605708,2022,-39.518209,100000.0,3091447.1,2991447.1,2991.447101,40.934131
27,Best Profit Generator,SHOP + ANET + AXP + TSLA,SHOP,Technology,ANET,Telecommunications,AXP,Finance,TSLA,Industrials,No,26.822087,61.767135,87.224399,-40.982803,51.552518,242.465394,60.47947,7.696798,90.239338,22.024474,2022,-40.982803,100000.0,3089304.6,2989304.6,2989.304599,40.924361
28,Best Profit Generator,SHOP + ANET + GS + TSLA,SHOP,Technology,ANET,Telecommunications,GS,Finance,TSLA,Industrials,No,34.483202,59.694934,84.033153,-40.821328,54.234157,247.1143,62.469874,-0.029463,83.118744,28.609698,2022,-40.821328,100000.0,3085386.0,2985386.0,2985.385998,40.906475
29,Best Profit Generator,RIO + SHOP + ANET + TSLA,RIO,Basic Materials,SHOP,Technology,ANET,Telecommunications,TSLA,Industrials,No,31.440138,42.847586,82.8214,-34.234601,42.231761,251.805905,61.730242,7.620293,92.397583,29.690273,2022,-34.234601,100000.0,3082717.07,2982717.07,2982.717069,40.894282
30,Best Profit Generator,SHOP + ANET + ABBV + TSLA,SHOP,Technology,ANET,Telecommunications,ABBV,Health Care,TSLA,Industrials,No,28.593238,51.401863,79.998058,-32.851645,50.437858,249.680423,52.717164,8.112725,96.20396,22.326931,2022,-32.851645,100000.0,3081919.24,2981919.24,2981.919244,40.890635
31,Best Profit Generator,SHOP + ANET + SPGI + TSLA,SHOP,Technology,ANET,Telecommunications,SPGI,Finance,TSLA,Industrials,No,21.750609,50.170933,88.255502,-45.949777,53.502375,248.099953,67.916821,8.695275,96.014496,22.51642,2022,-45.949777,100000.0,3081486.03,2981486.03,2981.486033,40.888654
32,Best Profit Generator,SHOP + SONY + ANET + TSLA,SHOP,Technology,SONY,Consumer Staples,ANET,Telecommunications,TSLA,Industrials,No,25.654151,49.81021,86.294721,-48.669619,48.740544,255.176355,62.822492,10.341468,96.511482,23.52944,2022,-48.669619,100000.0,3073679.96,2973679.96,2973.679961,40.852923
33,Best Profit Generator,SHOP + ANET + BBVA + TSLA,SHOP,Technology,ANET,Telecommunications,BBVA,Finance,TSLA,Industrials,No,58.822521,50.236131,95.677078,-36.329534,47.845484,241.17399,55.117039,-0.713083,88.960089,19.549325,2022,-36.329534,100000.0,3071636.45,2971636.45,2971.636449,40.843556
34,Best Profit Generator,SHOP + TJX + ANET + TSLA,SHOP,Technology,TJX,Consumer Discretionary,ANET,Telecommunications,TSLA,Industrials,No,27.505324,54.328019,84.979215,-37.170703,45.53802,245.814402,62.039286,13.087457,82.050677,21.718267,2022,-37.170703,100000.0,3060397.23,2960397.23,2960.397226,40.791936
35,Best Profit Generator,LIN + SHOP + ANET + TSLA,LIN,Basic Materials,SHOP,Technology,ANET,Telecommunications,TSLA,Industrials,No,21.127595,47.48246,86.970974,-39.951993,50.679018,249.220595,62.110616,9.10475,89.970935,24.255765,2022,-39.951993,100000.0,3059878.69,2959878.69,2959.878685,40.78955
36,Best Profit Generator,SHOP + ANET + CNQ + TSLA,SHOP,Technology,ANET,Telecommunications,CNQ,Energy,TSLA,Industrials,No,23.47391,46.359667,85.987819,-28.131978,63.220073,237.98654,62.281185,0.661675,84.95178,32.771239,2022,-28.131978,100000.0,3058894.61,2958894.61,2958.89461,40.785021
37,Best Profit Generator,SHOP + V + ANET + TSLA,SHOP,Technology,V,Consumer Discretionary,ANET,Telecommunications,TSLA,Industrials,No,23.263355,52.266683,86.633757,-39.704758,42.252623,247.03191,63.181868,12.473751,92.979368,20.221723,2022,-39.704758,100000.0,3057039.99,2957039.99,2957.039991,40.776483
38,Best Profit Generator,SHOP + ANET + BHP + TSLA,SHOP,Technology,ANET,Telecommunications,BHP,Energy,TSLA,Industrials,No,26.854054,40.527817,84.181549,-31.672627,42.558457,249.09241,58.475183,10.990136,89.653411,30.341297,2022,-31.672627,100000.0,3053599.48,2953599.48,2953.599481,40.760632
39,Best Profit Generator,SHOP + BN + ANET + TSLA,SHOP,Technology,BN,Real Estate,ANET,Telecommunications,TSLA,Industrials,No,25.458515,57.73178,87.206721,-47.509183,54.537868,244.87481,65.519152,5.688727,89.638511,21.891393,2022,-47.509183,100000.0,3052108.81,2952108.81,2952.108807,40.753759
40,Best Profit Generator,SHOP + ANET + RY + TSLA,SHOP,Technology,ANET,Telecommunications,RY,Finance,TSLA,Industrials,No,31.624361,52.636377,83.106727,-40.853973,50.859185,244.855309,57.393403,5.131129,87.164509,27.835369,2022,-40.853973,100000.0,3051121.66,2951121.66,2951.121659,40.749206
41,Best Profit Generator,SHOP + ANET + MCK + TSLA,SHOP,Technology,ANET,Telecommunications,MCK,Health Care,TSLA,Industrials,No,31.459368,52.605515,86.090373,-25.898254,53.388165,249.515941,59.030706,1.250692,84.17241,12.803258,2022,-25.898254,100000.0,3048171.98,2948171.98,2948.17198,40.735593
42,Best Profit Generator,SHOP + ANET + IBN + TSLA,SHOP,Technology,ANET,Telecommunications,IBN,Finance,TSLA,Industrials,No,20.471189,53.268444,82.509014,-36.035933,50.724678,242.36981,64.102103,9.790701,92.193314,19.295154,2022,-36.035933,100000.0,3047433.81,2947433.81,2947.433813,40.732184
43,Best Profit Generator,SHOP + ANET + CM + TSLA,SHOP,Technology,ANET,Telecommunications,CM,Finance,TSLA,Industrials,No,31.947435,56.144749,86.68192,-45.565905,52.523655,245.06332,56.766037,3.413318,87.41302,27.33329,2022,-45.565905,100000.0,3045763.19,2945763.19,2945.763186,40.724467
44,Best Profit Generator,SHOP + ANET + CME + TSLA,SHOP,Technology,ANET,Telecommunications,CME,Finance,TSLA,Industrials,No,25.281428,50.539865,87.88659,-44.575644,49.698786,241.164894,54.766657,16.388166,89.271513,28.361554,2022,-44.575644,100000.0,3044823.6,2944823.6,2944.823601,40.720125
45,Best Profit Generator,SHOP + ANET + MPC + TSLA,SHOP,Technology,ANET,Telecommunications,MPC,Energy,TSLA,Industrials,No,25.116109,45.673044,87.671793,-17.197874,57.58164,235.904625,53.862624,6.293501,89.880395,20.060051,2022,-17.197874,100000.0,3043267.29,2943267.29,2943.267286,40.712931
46,Best Profit Generator,SHOP + BKNG + ANET + TSLA,SHOP,Technology,BKNG,Consumer Discretionary,ANET,Telecommunications,TSLA,Industrials,No,22.47085,57.01387,99.060821,-42.854335,44.261516,244.86336,57.158913,8.131447,85.818053,23.626324,2022,-42.854335,100000.0,3042503.81,2942503.81,2942.503811,40.709401
47,Best Profit Generator,SHOP + ANET + SYK + TSLA,SHOP,Technology,ANET,Telecommunications,SYK,Health Care,TSLA,Industrials,No,19.953725,52.022654,86.006709,-40.708316,44.887499,247.292632,61.18233,8.960578,88.894626,27.551059,2022,-40.708316,100000.0,3041529.88,2941529.88,2941.529884,40.704896
48,Best Profit Generator,SHOP + ANET + BAC + TSLA,SHOP,Technology,ANET,Telecommunications,BAC,Finance,TSLA,Industrials,No,27.333929,55.150439,81.263251,-44.809308,54.733603,239.842622,63.897679,4.602705,90.106526,28.221044,2022,-44.809308,100000.0,3037493.11,2937493.11,2937.493108,40.68621
49,Best Profit Generator,SHOP + ANET + BLK + TSLA,SHOP,Technology,ANET,Telecommunications,BLK,Finance,TSLA,Industrials,No,21.961917,54.009994,84.522281,-43.952814,49.679253,254.552137,60.316457,2.951693,90.735005,23.5384,2022,-43.952814,100000.0,3036580.28,2936580.28,2936.580282,40.681982
50,Best Profit Generator,SHOP + ANET + COF + TSLA,SHOP,Technology,ANET,Telecommunications,COF,Finance,TSLA,Industrials,No,29.735373,56.247347,91.136467,-47.501786,54.661371,242.086475,62.004318,2.660317,85.260611,25.819268,2022,-47.501786,100000.0,3036353.3,2936353.3,2936.353295,40.68093
