Symbol,Name,Sector,Industry,Type,MarketCap,Analyst Rating,Rating Source,Rating Updated ET,Source,SourceSymbol
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares),Energy,Oil & Gas Production,Stock,265803289364.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,SHEL
SAP,SAP  SE ADS,Technology,Computer Software: Prepackaged Software,Stock,258428150244.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,SAP
TM,Toyota Motor Corporation Common Stock,Industrials,Auto Manufacturing,Stock,257615665387.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,TM
AZN,AstraZeneca PLC Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,250349184291.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,AZN
ARM,Arm Holdings plc American Depositary Shares,Technology,Semiconductors,Stock,246233025865.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,ARM
GEV,GE Vernova Inc. Common Stock,Technology,Consumer Electronics/Appliances,Stock,244685854370.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,GEV
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Energy,Coal Mining,Stock,236767446541.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,BHP
CCZ,Comcast Holdings ZONES,Telecommunications,Cable & Other Pay Television Services,Stock,235806545412.0,Not Rated,Nasdaq Stock Screener — no consensus rating returned,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,CCZ
AMGN,Amgen Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Stock,235393878137.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,AMGN
TXN,Texas Instruments Incorporated Common Stock,Technology,Semiconductors,Stock,234727486494.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,TXN
ANET,Arista Networks Inc. Common Stock,Telecommunications,Computer Communications Equipment,Stock,234436437570.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,ANET
C,Citigroup Inc. Common Stock,Finance,Major Banks,Stock,226420416969.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,C
LIN,Linde plc Ordinary Shares,Basic Materials,Major Chemicals,Stock,225603691772.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,LIN
SNDK,Sandisk Corporation Common Stock,Technology,Electronic Components,Stock,225450120980.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,SNDK
TMO,Thermo Fisher Scientific Inc Common Stock,Industrials,Industrial Machinery/Components,Stock,224260972641.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,TMO
KLAC,KLA Corporation Common Stock,Technology,Electronic Components,Stock,223550154571.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,KLAC
AXP,American Express Company Common Stock,Finance,Finance: Consumer Services,Stock,222203947450.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,AXP
IBM,International Business Machines Corporation Common Stock,Technology,Computer Manufacturing,Stock,217044210096.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,IBM
SAN,Banco Santander S.A. Sponsored ADR (Spain),Finance,Commercial Banks,Stock,215624520970.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,SAN
VZ,Verizon Communications Inc. Common Stock,Telecommunications,Telecommunications Equipment,Stock,210252399097.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,VZ
CRM,Salesforce Inc. Common Stock,Technology,Computer Software: Prepackaged Software,Stock,209079035000.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,CRM
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,Stock,209036297994.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,CRWD
NVO,Novo Nordisk A/S Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,206208724316.0,Hold,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,NVO
TMUS,T-Mobile US Inc. Common Stock,Telecommunications,Telecommunications Equipment,Stock,200707585508.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,TMUS
TTE,TotalEnergies SE Ordinary Shares,Energy,Oil & Gas Production,Stock,197742135297.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,TTE
TD,Toronto Dominion Bank (The) Common Stock,Finance,Commercial Banks,Stock,197580192459.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,TD
APH,Amphenol Corporation Common Stock,Technology,Electrical Products,Stock,196599212219.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,APH
ABT,Abbott Laboratories Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,193612586989.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,ABT
PEP,PepsiCo Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution),Stock,192736336905.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,PEP
SCHW,Charles Schwab Corporation (The) Common Stock,Finance,Investment Bankers/Brokers/Service,Stock,189483314183.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,SCHW
DIS,Walt Disney Company (The) Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,Stock,187500930688.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,DIS
DE,Deere & Company Common Stock,Industrials,Industrial Machinery/Components,Stock,185332419446.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,DE
GILD,Gilead Sciences Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Stock,185317497691.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,GILD
MCD,McDonald's Corporation Common Stock,Consumer Discretionary,Restaurants,Stock,185034107526.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,MCD
SHOP,Shopify Inc. Class A Subordinate Voting Shares,Technology,Computer Software: Prepackaged Software,Stock,181290441453.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,SHOP
MRVL,Marvell Technology Inc. Common Stock,Technology,Semiconductors,Stock,180641400000.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,MRVL
T,AT&T Inc.,Telecommunications,Telecommunications Equipment,Stock,179909385241.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,T
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),Technology,Electronic Components,Stock,178985708755.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,STX
QCOM,QUALCOMM Incorporated Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,Stock,178271956920.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,QCOM
ADI,Analog Devices Inc. Common Stock,Technology,Semiconductors,Stock,172955951422.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,ADI
BLK,BlackRock Inc. Common Stock,Finance,Investment Bankers/Brokers/Service,Stock,172950244988.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,BLK
UNP,Union Pacific Corporation Common Stock,Industrials,Railroads,Stock,172769036328.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,UNP
WELL,Welltower Inc. Common Stock,Real Estate,Real Estate Investment Trusts,Stock,172330117784.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,WELL
NEE,NextEra Energy Inc. Common Stock,Utilities,Electric Utilities: Central,Stock,172301800063.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,NEE
UBS,UBS Group AG Registered Ordinary Shares,Finance,Major Banks,Stock,170378595719.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,UBS
SCCO,Southern Copper Corporation Common Stock,Basic Materials,Metal Mining,Stock,169302589782.0,Sell,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,SCCO
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,Finance,Commercial Banks,Stock,165988264953.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,BBVA
BA,Boeing Company (The) Common Stock,Industrials,Aerospace,Stock,165321697083.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,BA
COP,ConocoPhillips Common Stock,Energy,Integrated oil Companies,Stock,164691475130.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,COP
PFE,Pfizer Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,164122100995.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,PFE
WDC,Western Digital Corporation Common Stock,Technology,Electronic Components,Stock,160610138270.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,WDC
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),Consumer Staples,Beverages (Production/Distribution),Stock,156883184446.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,BUD
UBER,Uber Technologies Inc. Common Stock,Consumer Discretionary,Business Services,Stock,156051593244.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,UBER
ETN,Eaton Corporation PLC Ordinary Shares,Technology,Industrial Machinery/Components,Stock,152566937920.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,ETN
BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,Transportation Services,Stock,149291791545.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,BKNG
DHR,Danaher Corporation Common Stock,Industrials,Industrial Machinery/Components,Stock,147613011619.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,DHR
SONY,Sony Group Corporation American Depositary Shares,Consumer Staples,Consumer Electronics/Appliances,Stock,145948882453.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,SONY
TJX,TJX Companies Inc. (The) Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,Stock,145460569827.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,TJX
NOW,ServiceNow Inc. Common Stock,Technology,Computer Software: Prepackaged Software,Stock,141678680000.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,NOW
UL,Unilever PLC American Depositary Shares (each representing One Ordinary Share),Consumer Discretionary,Package Goods/Cosmetics,Stock,141186111009.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,UL
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,139284381566.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,VRTX
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),Finance,Major Banks,Stock,137501888604.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,MFG
BMY,Bristol-Myers Squibb Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,136984444831.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,BMY
PBR,Petroleo Brasileiro S.A. Petrobras ADS,Energy,Oil & Gas Production,Stock,134622813699.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,PBR
ISRG,Intuitive Surgical Inc. Common Stock,Health Care,Industrial Specialties,Stock,134171466052.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,ISRG
COF,Capital One Financial Corporation Common Stock,Finance,Major Banks,Stock,133347063953.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 02, 2026 12:12:36 PM EDT",Nasdaq Stock Screener,COF
