Rank,Combo,Strategy,Stock 1,Sector 1,Name 1,Role 1,Stock 1 Top100 Uses,Stock 2,Sector 2,Name 2,Role 2,Stock 2 Top100 Uses,Stock 3,Sector 3,Name 3,Role 3,Stock 3 Top100 Uses,Stock 4,Sector 4,Name 4,Role 4,Stock 4 Top100 Uses,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Worst Year,Worst Year %,Best Year,Best Year %,Defense Recession Worst %,Defense Recession Avg %,Defense Recession Positive Years,Defense Recession Observations,Recession Stress Years,Starting Value ($),Annual Withdrawal ($),Total Withdrawn ($),Remaining Balance ($),Net Value incl. Withdrawals ($),Net Profit incl. Withdrawals ($),Max Ticker Repeats,Distinct Tickers in Top 100,Candidate Partners per Profit Pair,NBER Recession Periods,NBER Source,2025 Balance After Withdrawal ($),2024 Balance After Withdrawal ($),2023 Balance After Withdrawal ($),2022 Balance After Withdrawal ($),2021 Balance After Withdrawal ($),2020 Balance After Withdrawal ($),2019 Balance After Withdrawal ($),2018 Balance After Withdrawal ($),2017 Balance After Withdrawal ($),2016 Balance After Withdrawal ($)
11,SHOP + ISRG + NFLX + CAT,Not rebalanced,SHOP,Technology,Shopify Inc. Class A Subordinate Voting Shares,Profit Engine,5,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,Profit Engine,5,NFLX,Consumer Discretionary,Netflix Inc. Common Stock,Recession Defense,5,CAT,Industrials,Caterpillar Inc. Common Stock,Recession Defense,5,49.315026553483165,103.7675942801378,24.565327028659254,68.33681452225045,63.503980224537756,19.321300637614392,-41.56224064426374,62.57730206734158,45.972076769681735,31.34762578657655,2022,-41.56224064426374,2017,103.7675942801378,-12.259747329765009,31.181128277453556,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,6801864.178489652,6801864.178489652,6501864.178489652,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,394042.87735972967,575192.5714450075,935132.5643470593,546470.51761026,652055.7292136659,1066137.0705464778,1794701.1829987788,2235575.397789645,4555378.20639458,6801864.178489652
12,SHOP + ISRG + CAT + SCCO,Not rebalanced,SHOP,Technology,Shopify Inc. Class A Subordinate Voting Shares,Profit Engine,5,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,Profit Engine,5,CAT,Industrials,Caterpillar Inc. Common Stock,Recession Defense,5,SCCO,Basic Materials,Southern Copper Corporation Common Stock,Recession Defense,5,51.59891581240446,103.90362653940302,8.552237293650599,70.83574682552798,61.49993683811024,14.124836934289098,-28.625638029958388,58.93017823047975,28.95221644187145,46.70092151856628,2022,-28.625638029958388,2017,103.90362653940302,-43.63735017553692,18.7152460090713,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,6801780.597140761,6801780.597140761,6501780.597140761,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,440102.76455569884,567522.2695165246,901964.1544402762,643771.1604302279,734702.7870709782,1186544.5370674653,2027042.221316708,2200399.682126199,4486694.750216816,6801780.597140761
13,SHOP + ISRG + NFLX + PH,Not rebalanced,SHOP,Technology,Shopify Inc. Class A Subordinate Voting Shares,Profit Engine,5,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,Profit Engine,5,NFLX,Consumer Discretionary,Netflix Inc. Common Stock,Recession Defense,5,PH,Industrials,Parker-Hannifin Corporation Common Stock,Recession Defense,5,50.0121643215532,98.24097030755267,20.73788917128423,74.30177855677033,66.65994110706907,20.302900613577556,-44.84020207276257,71.73337207736807,50.974618788557336,26.15701259534049,2022,-44.84020207276257,2017,98.24097030755267,-15.133334019340527,30.886106733799135,2,3,"2001,2008,2009,2020",300000.0,0.0,0.0,6791826.275816239,6791826.275816239,6491826.275816239,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,378471.0377860215,571395.2065225428,981276.256049604,541269.9999449225,651163.5100848514,1085228.7224181371,1891572.9645837292,2283845.2695730785,4527517.022724813,6791826.275816239
14,SHOP + ISRG + PH + SCCO,Not rebalanced,SHOP,Technology,Shopify Inc. Class A Subordinate Voting Shares,Profit Engine,5,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,Profit Engine,5,PH,Industrials,Parker-Hannifin Corporation Common Stock,Recession Defense,5,SCCO,Basic Materials,Southern Copper Corporation Common Stock,Recession Defense,5,52.32106319067928,98.287630069733,5.873851334730817,76.16541560274115,64.29801390297618,14.914548023207331,-32.647889650657156,68.18626220275941,32.78771260726747,41.5103083273302,2022,-32.647889650657156,2017,98.287630069733,-46.51093686511244,17.5106895044135,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,6791742.694467347,6791742.694467347,6491742.694467347,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,424530.9249819906,563724.9045940599,948107.8461428209,638570.6427648903,733810.5679421637,1205636.1889391246,2123914.0029016584,2248669.5539096324,4458833.566547047,6791742.694467347
15,SHOP + PBR + PH + SCCO,Not rebalanced,SHOP,Technology,Shopify Inc. Class A Subordinate Voting Shares,Profit Engine,5,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,Profit Engine,5,PH,Industrials,Parker-Hannifin Corporation Common Stock,Recession Defense,5,SCCO,Basic Materials,Southern Copper Corporation Common Stock,Recession Defense,5,63.49941860811903,89.51939733624054,5.029678065636811,77.59449639014167,40.2200533650197,13.825060420467473,-20.443527730404544,81.29736760579176,22.279657326667923,39.11946730640066,2022,-20.443527730404544,2017,89.51939733624054,-46.51093686511244,17.5106895044135,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,6790313.467310257,6790313.467310257,6490313.467310257,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,417358.40191920195,510344.4236908576,925241.0058744735,736089.1042654515,837853.8676786281,1174839.1403798538,2086449.6547518708,2191391.3553874805,4153111.690008826,6790313.467310257
16,AVGO + ISRG + AEM + AMZN,Not rebalanced,AVGO,Technology,Broadcom Inc. Common Stock,Profit Engine,5,ISRG,Health Care,Intuitive Surgical Inc. Common Stock,Profit Engine,5,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,Recession Defense,5,AMZN,Consumer Discretionary,Amazon.com Inc. Common Stock,Recession Defense,5,24.604627219486353,47.63458323144896,7.214367468066163,31.326224416635284,41.73167908506061,23.949644243052703,-18.47086483334135,55.09900650127268,63.9830737788911,45.969487088763294,2022,-18.47086483334135,2024,63.9830737788911,-25.226617377476074,30.554884333811376,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,4131836.6797079407,4131836.6797079407,3831836.6797079407,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,437908.4612662899,718095.7551223069,1113759.38192251,908038.3919189451,1125510.356373869,1595204.7263649344,2094922.1388507865,2246057.5201173536,3315957.658963873,4131836.6797079407
17,AVGO + PBR + AEM + AMZN,Not rebalanced,AVGO,Technology,Broadcom Inc. Common Stock,Profit Engine,5,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,Profit Engine,5,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,Recession Defense,5,AMZN,Consumer Discretionary,Amazon.com Inc. Common Stock,Recession Defense,5,37.21209071611538,37.53034637734811,6.382708383507607,31.51672801727221,27.233786832421213,22.275896378121395,-7.8225567575389565,64.11425823420763,54.320829831723906,43.578646067833745,2022,-7.8225567575389565,2023,64.11425823420763,-25.226617377476074,30.554884333811376,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,4130407.45255085,4130407.45255085,3830407.45255085,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,430735.9382035012,664715.2742191046,1090892.5416541626,1005556.8534195065,1229553.6561103337,1564407.6778056636,2057457.7907009986,2188779.3215952017,3010235.7824256513,4130407.45255085
18,AVGO + PBR + WMT + AEM,Not rebalanced,AVGO,Technology,Broadcom Inc. Common Stock,Profit Engine,5,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,Profit Engine,5,WMT,Consumer Discretionary,Walmart Inc. Common Stock,Recession Defense,5,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,Recession Defense,5,38.27944526096741,36.22385627968434,2.612209372748042,32.31336737445136,22.69775718894809,20.763366448860452,1.5039915531232406,49.76658055756582,60.206078720624824,48.39859252536982,2022,1.5039915531232406,2024,60.206078720624824,1.5157145555310725,16.33381223766557,4,4,"2001,2008,2009,2020",300000.0,0.0,0.0,4108785.3868974084,4108785.3868974084,3808785.3868974084,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,445195.77757610945,713230.6978844797,1068181.2277084482,1084246.5831452315,1309372.6744129243,1606570.9047496058,2125708.063332393,2181236.0086000226,2971363.805476018,4108785.3868974084
19,AVGO + PBR + AEM + JPM,Not rebalanced,AVGO,Technology,Broadcom Inc. Common Stock,Profit Engine,5,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,Profit Engine,5,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,Recession Defense,5,JPM,Finance,JP Morgan Chase & Co. Common Stock,Recession Defense,5,41.05842370716915,33.627434493340225,2.153459067383423,34.55819686191464,18.047941726471684,25.070327388467284,-0.7056534314450857,54.26941770628919,53.772335710092946,51.5927442444962,2022,-0.7056534314450857,2023,54.26941770628919,-15.474697849823265,8.416480338175324,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,4097819.6603352167,4097819.6603352167,3797819.6603352167,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,454778.2327334886,699323.1107753679,1078841.6908786679,1071228.8074671223,1339789.3765787038,1581593.7825210865,2128164.0754405255,2173993.217691896,2905051.3628608976,4097819.6603352167
20,AVGO + PBR + AEM + COST,Not rebalanced,AVGO,Technology,Broadcom Inc. Common Stock,Profit Engine,5,PBR,Energy,Petroleo Brasileiro S.A. Petrobras ADS,Profit Engine,5,AEM,Basic Materials,Agnico Eagle Mines Limited Common Stock,Recession Defense,5,COST,Consumer Discretionary,Costco Wholesale Corporation Common Stock,Recession Defense,5,35.42532059356203,32.56043696812267,4.727674523139402,34.61021517675178,23.994812423741195,27.7564127377008,-1.0852582790723209,58.87103818668182,53.70709283578932,40.9274920443802,2022,-1.0852582790723209,2023,58.87103818668182,-14.897854503946517,14.387451562992972,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,4094078.297944218,4094078.297944218,3794078.297944218,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,422782.4761331406,649846.6530834152,1032418.1243750263,1021213.7212056032,1304666.0165974635,1617718.180036321,2177613.9231003243,2280564.421755075,3023126.1628180677,4094078.297944218
21,LRCX + MS + NEM + AMZN,Not rebalanced,LRCX,Technology,Lam Research Corporation Common Stock,Profit Engine,5,MS,Finance,Morgan Stanley Common Stock,Profit Engine,5,NEM,Basic Materials,Newmont Corporation,Recession Defense,5,AMZN,Consumer Discretionary,Amazon.com Inc. Common Stock,Recession Defense,5,36.96053584507555,52.945188398007815,-15.294114010871883,65.41516888988524,53.54943244908401,31.820316431891715,-32.79938145196631,39.391431330698,8.741756348475406,90.58901603251522,2022,-32.79938145196631,2025,90.58901603251522,-30.247425948981356,27.231899281450794,2,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3459995.760843259,3459995.760843259,3159995.760843259,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,571767.0480975456,621749.5303231032,866665.5696092658,582404.623520266,767727.6176383824,1178841.39963861,1949982.4921560937,1651749.9466137,2526272.0677123168,3459995.760843259
22,LRCX + DE + NEM + AMZN,Not rebalanced,LRCX,Technology,Lam Research Corporation Common Stock,Profit Engine,5,DE,Industrials,Deere & Company Common Stock,Profit Engine,5,NEM,Basic Materials,Newmont Corporation,Recession Defense,5,AMZN,Consumer Discretionary,Amazon.com Inc. Common Stock,Recession Defense,5,37.41219533627902,58.618913016263896,-11.762367948017827,65.40879470724734,59.64398208895858,26.912112246901177,-31.321031996114932,39.10870585963045,2.3859209155675742,82.14415452745483,2022,-31.321031996114932,2025,82.14415452745483,-30.247425948981356,27.231899281450794,2,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3445110.201973325,3445110.201973325,3145110.201973325,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,546432.4635823645,559469.9100204273,778271.3515034553,534508.732482462,678356.3225376308,1082955.0460512934,1791302.8888947598,1580603.2520394851,2507135.6974847494,3445110.201973325
23,LRCX + MS + WMT + NEM,Not rebalanced,LRCX,Technology,Lam Research Corporation Common Stock,Profit Engine,5,MS,Finance,Morgan Stanley Common Stock,Profit Engine,5,WMT,Consumer Discretionary,Walmart Inc. Common Stock,Recession Defense,5,NEM,Basic Materials,Newmont Corporation,Recession Defense,5,38.231630205318034,51.28269403028061,-18.532358491779345,65.29280240618604,44.063414897158395,28.20358119525539,-21.667039556994496,25.913528768215844,14.335416596292339,95.40896249005128,2022,-21.667039556994496,2025,95.40896249005128,2.0778882170970405,13.010827185304988,4,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3438373.6951898173,3438373.6951898173,3138373.6951898173,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,586226.8874701539,670264.9539884783,843954.2556635513,661094.3532459912,847546.6359409728,1221004.6265825522,2018232.7647874877,1644206.6336185206,2487400.090762683,3438373.6951898173
24,LRCX + MS + NEM + COST,Not rebalanced,LRCX,Technology,Lam Research Corporation Common Stock,Profit Engine,5,MS,Finance,Morgan Stanley Common Stock,Profit Engine,5,NEM,Basic Materials,Newmont Corporation,Recession Defense,5,COST,Consumer Discretionary,Costco Wholesale Corporation Common Stock,Recession Defense,5,34.83448484330336,45.63300306486384,-15.776894064376357,68.01001738623809,46.190490941066955,40.92864870541535,-25.999995226121097,33.171292768503946,7.638574916879048,87.93786200906169,2022,-25.999995226121097,2025,87.93786200906169,-19.918663075451796,11.064466510632387,3,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3423666.606236627,3423666.606236627,3123666.606236627,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,563813.5860271851,606880.9091874139,808191.1523301295,598061.4913063628,842839.9781255121,1232151.9018692675,2070138.6245554194,1743535.0467735732,2539162.448104733,3423666.606236627
25,LRCX + DE + WMT + NEM,Not rebalanced,LRCX,Technology,Lam Research Corporation Common Stock,Profit Engine,5,DE,Industrials,Deere & Company Common Stock,Profit Engine,5,WMT,Consumer Discretionary,Walmart Inc. Common Stock,Recession Defense,5,NEM,Basic Materials,Newmont Corporation,Recession Defense,5,38.70025750642547,56.90843427331069,-15.406562630708553,65.27623861051879,48.398162323290904,23.642733562957496,-18.841861436944296,24.272740754664767,8.396091456903122,86.96410098499089,2022,-18.841861436944296,2025,86.96410098499089,2.0778882170970405,13.010827185304988,4,4,"2001,2008,2009,2020",300000.0,0.0,0.0,3423488.1363198836,3423488.1363198836,3123488.1363198836,5,84,1000,Mar-Nov 2001; Dec 2007-Jun 2009; Feb-Apr 2020,https://www.nber.org/research/data/us-business-cycle-expansions-and-contractions,560892.3029549727,607985.3336858024,755560.0375577408,613198.462208187,758175.3408402213,1125118.2729952356,1859553.1615261538,1573059.9390443058,2468263.720535116,3423488.1363198836
