Symbol,Name,Sector,Industry,Type,MarketCap,Analyst Rating,Rating Source,Rating Updated ET,Source,SourceSymbol
MU,Micron Technology Inc. Common Stock,Technology,Semiconductors,Stock,1043593153319.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,MU
JPM,JP Morgan Chase & Co. Common Stock,Finance,Major Banks,Stock,930710732455.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,JPM
WMT,Walmart Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,Stock,865413039968.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,WMT
AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors,Stock,805479510473.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,AMD
XOM,ExxonMobil Holdings Corporation Common Stock,Energy,Integrated oil Companies,Stock,678794426357.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,XOM
V,Visa Inc.,Consumer Discretionary,Business Services,Stock,670533500838.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,V
JNJ,Johnson & Johnson Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,641804194353.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,JNJ
ASML,ASML Holding N.V. New York Registry Shares,Technology,Industrial Machinery/Components,Stock,607090635025.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,ASML
INTC,Intel Corporation Common Stock,Technology,Semiconductors,Stock,513655905774.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,INTC
MA,Mastercard Incorporated Common Stock,Consumer Discretionary,Business Services,Stock,503197629735.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,MA
ABBV,AbbVie Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,462578291694.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,ABBV
CSCO,Cisco Systems Inc. Common Stock (DE),Telecommunications,Computer Communications Equipment,Stock,433921111242.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,CSCO
CVX,Chevron Corporation Common Stock,Energy,Integrated oil Companies,Stock,419199391205.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,CVX
ORCL,Oracle Corporation Common Stock,Technology,Computer Software: Prepackaged Software,Stock,417063396090.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,ORCL
PLTR,Palantir Technologies Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,Stock,416299888619.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,PLTR
BAC,Bank of America Corporation Common Stock,Finance,Major Banks,Stock,415858745267.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,BAC
COST,Costco Wholesale Corporation Common Stock,Consumer Discretionary,Department/Specialty Retail Stores,Stock,407517107784.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,COST
KO,Coca-Cola Company (The) Common Stock,Consumer Staples,Beverages (Production/Distribution),Stock,384432774862.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,KO
CAT,Caterpillar Inc. Common Stock,Industrials,Construction/Ag Equipment/Trucks,Stock,360385112976.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,CAT
MRK,Merck & Company Inc. Common Stock (new),Health Care,Biotechnology: Pharmaceutical Preparations,Stock,357369811764.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,MRK
HSBC,HSBC Holdings plc. Common Stock,Finance,Savings Institutions,Stock,356861188827.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,HSBC
UNH,UnitedHealth Group Incorporated Common Stock (DE),Health Care,Medical Specialities,Stock,344272503567.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,UNH
LRCX,Lam Research Corporation Common Stock,Technology,Industrial Machinery/Components,Stock,342223780290.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,LRCX
DELL,Dell Technologies Inc. Class C Common Stock,Technology,Computer Manufacturing,Stock,339702036070.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,DELL
PG,Procter & Gamble Company (The) Common Stock,Consumer Discretionary,Package Goods/Cosmetics,Stock,339669403058.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,PG
AMAT,Applied Materials Inc. Common Stock,Technology,Semiconductors,Stock,336651971295.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,AMAT
NFLX,Netflix Inc. Common Stock,Consumer Discretionary,Consumer Electronics/Video Chains,Stock,334447634776.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,NFLX
GE,GE Aerospace Common Stock,Technology,Consumer Electronics/Appliances,Stock,329488351628.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,GE
MS,Morgan Stanley Common Stock,Finance,Investment Bankers/Brokers/Service,Stock,324447584601.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,MS
HD,Home Depot Inc. (The) Common Stock,Consumer Discretionary,RETAIL: Building Materials,Stock,310151774035.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,HD
PANW,Palo Alto Networks Inc. Common Stock,Technology,Computer peripheral equipment,Stock,305882920000.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,PANW
PM,Philip Morris International Inc Common Stock,Health Care,Medicinal Chemicals and Botanical Products,Stock,303711414724.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,PM
GS,Goldman Sachs Group Inc. (The) Common Stock,Finance,Investment Bankers/Brokers/Service,Stock,287808378238.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,GS
RY,Royal Bank Of Canada Common Stock,Finance,Commercial Banks,Stock,284029617563.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,RY
MUFG,Mitsubishi UFJ Financial Group Inc. Common Stock,Finance,Commercial Banks,Stock,283519613879.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,MUFG
WFC,Wells Fargo & Company Common Stock,Finance,Major Banks,Stock,268258981097.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,WFC
SAP,SAP  SE ADS,Technology,Computer Software: Prepackaged Software,Stock,268157903761.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,SAP
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares),Energy,Oil & Gas Production,Stock,266787725322.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,SHEL
NVS,Novartis AG Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,265214001864.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,NVS
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,Consumer Discretionary,Business Services,Stock,264608147746.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,BABA
RTX,RTX Corporation Common Stock,Industrials,Aerospace,Stock,263271075849.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,RTX
TM,Toyota Motor Corporation Common Stock,Industrials,Auto Manufacturing,Stock,257498359999.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,TM
ARM,Arm Holdings plc American Depositary Shares,Technology,Semiconductors,Stock,254319845781.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,ARM
AZN,AstraZeneca PLC Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,253977882825.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,AZN
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,Stock,241013783110.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,CRWD
TXN,Texas Instruments Incorporated Common Stock,Technology,Semiconductors,Stock,240567705446.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,TXN
ANET,Arista Networks Inc. Common Stock,Telecommunications,Computer Communications Equipment,Stock,236870601141.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,ANET
IBM,International Business Machines Corporation Common Stock,Technology,Computer Manufacturing,Stock,234676255205.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,IBM
GEV,GE Vernova Inc. Common Stock,Technology,Consumer Electronics/Appliances,Stock,232977963316.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,GEV
C,Citigroup Inc. Common Stock,Finance,Major Banks,Stock,228433341109.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,C
SNDK,Sandisk Corporation Common Stock,Technology,Electronic Components,Stock,227240825362.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,SNDK
TMO,Thermo Fisher Scientific Inc Common Stock,Industrials,Industrial Machinery/Components,Stock,226884329635.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,TMO
AXP,American Express Company Common Stock,Finance,Finance: Consumer Services,Stock,221353057061.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,AXP
KLAC,KLA Corporation Common Stock,Technology,Electronic Components,Stock,220923995537.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,KLAC
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Energy,Coal Mining,Stock,215416808712.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,BHP
LIN,Linde plc Ordinary Shares,Basic Materials,Major Chemicals,Stock,214083797499.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,LIN
CRM,Salesforce Inc. Common Stock,Technology,Computer Software: Prepackaged Software,Stock,213510890000.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,CRM
SAN,Banco Santander S.A. Sponsored ADR (Spain),Finance,Commercial Banks,Stock,213357202332.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,SAN
VZ,Verizon Communications Inc. Common Stock,Telecommunications,Telecommunications Equipment,Stock,213098420111.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,VZ
AMGN,Amgen Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Stock,206251109908.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,AMGN
TTE,TotalEnergies SE Ordinary Shares,Energy,Oil & Gas Production,Stock,198854884817.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,TTE
TD,Toronto Dominion Bank (The) Common Stock,Finance,Commercial Banks,Stock,198131349210.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,TD
TMUS,T-Mobile US Inc. Common Stock,Telecommunications,Telecommunications Equipment,Stock,196191638018.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,TMUS
APH,Amphenol Corporation Common Stock,Technology,Electrical Products,Stock,193701701095.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,APH
NVO,Novo Nordisk A/S Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,192393581094.0,Hold,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,NVO
MRVL,Marvell Technology Inc. Common Stock,Technology,Semiconductors,Stock,191883258000.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,MRVL
QCOM,QUALCOMM Incorporated Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,Stock,189199640868.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,QCOM
DIS,Walt Disney Company (The) Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,Stock,187500930688.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,DIS
PEP,PepsiCo Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution),Stock,186089315018.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,PEP
SCHW,Charles Schwab Corporation (The) Common Stock,Finance,Investment Bankers/Brokers/Service,Stock,185575015469.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,SCHW
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),Technology,Electronic Components,Stock,184244228758.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,STX
DE,Deere & Company Common Stock,Industrials,Industrial Machinery/Components,Stock,183738933262.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,DE
MCD,McDonald's Corporation Common Stock,Consumer Discretionary,Restaurants,Stock,182210617817.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,MCD
T,AT&T Inc.,Telecommunications,Telecommunications Equipment,Stock,181656743582.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,T
GILD,Gilead Sciences Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Stock,181541834244.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,GILD
ABT,Abbott Laboratories Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,178385213985.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,ABT
ADI,Analog Devices Inc. Common Stock,Technology,Semiconductors,Stock,174937824174.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,ADI
SHOP,Shopify Inc. Class A Subordinate Voting Shares,Technology,Computer Software: Prepackaged Software,Stock,173496138137.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,SHOP
NEE,NextEra Energy Inc. Common Stock,Utilities,Electric Utilities: Central,Stock,170278401201.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,NEE
UNP,Union Pacific Corporation Common Stock,Industrials,Railroads,Stock,169359042970.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,UNP
WELL,Welltower Inc. Common Stock,Real Estate,Real Estate Investment Trusts,Stock,168805674974.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,WELL
BA,Boeing Company (The) Common Stock,Industrials,Aerospace,Stock,166191104105.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,BA
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,Finance,Commercial Banks,Stock,166130989170.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,BBVA
BLK,BlackRock Inc. Common Stock,Finance,Investment Bankers/Brokers/Service,Stock,165028682390.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,BLK
UBS,UBS Group AG Registered Ordinary Shares,Finance,Major Banks,Stock,164451034374.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,UBS
COP,ConocoPhillips Common Stock,Energy,Integrated oil Companies,Stock,164186793255.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,COP
PFE,Pfizer Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,157994951887.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,PFE
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),Consumer Staples,Beverages (Production/Distribution),Stock,157415660370.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,BUD
SCCO,Southern Copper Corporation Common Stock,Basic Materials,Metal Mining,Stock,157146376825.0,Sell,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,SCCO
WDC,Western Digital Corporation Common Stock,Technology,Electronic Components,Stock,153929350631.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,WDC
ETN,Eaton Corporation PLC Ordinary Shares,Technology,Industrial Machinery/Components,Stock,152703344000.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,ETN
UBER,Uber Technologies Inc. Common Stock,Consumer Discretionary,Business Services,Stock,148351141588.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,UBER
NOW,ServiceNow Inc. Common Stock,Technology,Computer Software: Prepackaged Software,Stock,147189900000.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,NOW
SONY,Sony Group Corporation American Depositary Shares,Consumer Staples,Consumer Electronics/Appliances,Stock,144276405996.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,SONY
DHR,Danaher Corporation Common Stock,Industrials,Industrial Machinery/Components,Stock,142881915476.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,DHR
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),Finance,Major Banks,Stock,141049922850.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,MFG
TJX,TJX Companies Inc. (The) Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,Stock,138585731945.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,TJX
UL,Unilever PLC American Depositary Shares (each representing One Ordinary Share),Consumer Discretionary,Package Goods/Cosmetics,Stock,136950589258.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,UL
PBR,Petroleo Brasileiro S.A. Petrobras ADS,Energy,Oil & Gas Production,Stock,136298348958.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,PBR
ISRG,Intuitive Surgical Inc. Common Stock,Health Care,Industrial Specialties,Stock,133517901682.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,ISRG
CB,Chubb Limited  Common Stock,Finance,Property-Casualty Insurers,Stock,131885681799.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,CB
BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,Transportation Services,Stock,131754570675.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,BKNG
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,131675484627.0,Strong Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,VRTX
BMY,Bristol-Myers Squibb Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Stock,130938009450.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,BMY
ACN,Accenture plc Class A Ordinary Shares (Ireland),Consumer Discretionary,Business Services,Stock,130164490950.0,Buy,Nasdaq Stock Screener analyst consensus,"Sep 14, 2026 08:06:46 PM EDT",Nasdaq Stock Screener,ACN
